Year,Primary MSA City,State,Population,Sheltered Homeless_percentage,Sheltered Homeless - Under 18_percentage,Sheltered Homeless - Age 18 to 24_percentage,Sheltered Homeless - Over 24_percentage,Sheltered Homeless - Female_percentage,Sheltered Homeless - Male_percentage,Sheltered Homeless - Transgender_percentage,Sheltered Homeless - Gender Non-Conforming_percentage,Sheltered Homeless - Hispanic/Latino_percentage,Sheltered Homeless - White_percentage,Sheltered Homeless - Black or African American_percentage,Sheltered Homeless - Asian_percentage,Sheltered Homeless - American Indian or Alaska Native_percentage,Sheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Sheltered Homeless - Multiple Races_percentage,Unsheltered Homeless_percentage,Unsheltered Homeless - Under 18_percentage,Unsheltered Homeless - Age 18 to 24_percentage,Unsheltered Homeless - Over 24_percentage,Unsheltered Homeless - Female_percentage,Unsheltered Homeless - Male_percentage,Unsheltered Homeless - Transgender_percentage,Unsheltered Homeless - Gender Non-Conforming_percentage,Unsheltered Homeless - Hispanic/Latino_percentage,Unsheltered Homeless - White_percentage,Unsheltered Homeless - Black or African American_percentage,Unsheltered Homeless - Asian_percentage,Unsheltered Homeless - American Indian or Alaska Native_percentage,Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Unsheltered Homeless - Multiple Races_percentage,Overall Homeless_percentage,Overall Homeless - Under 18_percentage,Overall Homeless - Age 18 to 24_percentage,Overall Homeless - Over 24_percentage,Overall Homeless - Female_percentage,Overall Homeless - Male_percentage,Overall Homeless - Transgender_percentage,Overall Homeless - Gender Non-Conforming_percentage,Overall Homeless - Hispanic/Latino_percentage,Overall Homeless - White_percentage,Overall Homeless - Black or African American_percentage,Overall Homeless - Asian_percentage,Overall Homeless - American Indian or Alaska Native_percentage,Overall Homeless - Native Hawaiian or Other Pacific Islander_percentage,Overall Homeless - Multiple Races_percentage
2021,Cleveland,OH,2073183,0.075101909,0.013361097,0.005402321,0.05633849,0.02580573,0.048813829,0.00048235,0,0.006222316,0.020933994,0.052479689,0.00048235,0.00028941,0,0.000916465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075101909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Cincinnati,OH,2259955,0.043584939,0.009380718,0.002920412,0.031283809,0.017124235,0.026372207,8.85E-05,0,0.00066373,0.013141855,0.028540391,4.42E-05,0.000265492,8.85E-05,0.001504455,0.001371709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044956647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Chicago,IL,9519538,0.048731357,0.013298965,0.005052766,0.030379626,0.022312007,0.026272283,0.000105047,4.20E-05,0.006092733,0.012479597,0.033993246,0.000441198,0.000462207,0.000189085,0.001166023,0.007910048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056641404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Charlotte,NC,2707369,0.065044698,0.016436622,0.002991835,0.045616242,0.02585536,0.03907853,0.000110809,0,0.002105365,0.010785379,0.051452166,0.000517107,0.000480171,0,0.001809875,0.017101474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082146172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Buffalo,NY,1166241,0.056849313,0.012347362,0.004115787,0.040386164,0.021950866,0.034812702,0,8.57E-05,0.006516663,0.025294943,0.026666872,0.000857456,0.001371929,0.000428728,0.002229385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056849313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Boston,MA,4903708,0.095845837,0.036523382,0.007790023,0.051532432,0.046169144,0.049391195,0.000203927,8.16E-05,0.034219003,0.032506014,0.049493159,0.001019637,0.000367069,0.0011216,0.011338359,0.005281717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101127555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Birmingham,AL,1117042,0.049774315,0.005908462,0.002775187,0.041090666,0.015487332,0.033839372,0.000447611,0,0.001432354,0.02041105,0.027662344,8.95E-05,0.000268566,8.95E-05,0.00125331,0.028557565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07833188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Baltimore,MD,2843354,0.073786099,0.013434838,0.004572065,0.055779196,0.028381974,0.045052428,0.000351697,0,0.002743239,0.013927214,0.056939797,0.000562716,0.000633055,0.000175849,0.001547468,0.002391542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076177641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Austin,TX,2358130,0.030363042,0.009965524,0.002077918,0.018319601,0.013485262,0.016708154,0.000169626,0,0.011025686,0.016029651,0.012128254,0.000127219,0.000127219,4.24E-05,0.001908292,0.094905709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125268751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Atlanta,GA,6143138,0.037065747,0.005453239,0.002392914,0.029219594,0.011508776,0.025166291,0.00029301,9.77E-05,0.001611554,0.00389052,0.032312476,0.000146505,8.14E-05,0.000130227,0.000504628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037065747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
